Category,item,sodium(mg),carbohydrates(g),protein(g),iron(mg),calcium(mg)
Breakfast,Puri,188,7.5,1.3,0.5,5.2
Breakfast,White Channa Masala,322,37,14.5,,80.4
Breakfast,Millet Idly,272,63,10,9.3,17
Breakfast,Egg ,130,1,6,1.75,50
Breakfast,Bread,97,11.2,2,1,0
Breakfast,Butter,0,4.3,2,2,24
Breakfast,Vada,1200,55,20,0.6,22
Breakfast,Aloo Paratha,1183,76.6,10.2,5,19
Breakfast,Millet Pongal,432,55,14,2,49
Breakfast,Masala Dosa,650,68,10,2.3,22.3
Breakfast,Poha,206,66.3,7.7,63,4
Breakfast,Pav Bhaji,519,82.2,14,32,16
Lunch,Phulka,170,15,3,2,0
Lunch,Tomato Rice,291,14,20.7,131.4,32
Lunch,Plain Rice ,10,2,12,2,0
Lunch,Gobi 65,1560,42.6,8.5,18,10
Lunch,Sambar,500,51,16,3,2
Lunch,Rasam,25,1,0,0,0
Lunch,Paneer Butter Masala,800,60,25,1,45
Lunch,Dragon Chicken,350,25.2,6.7,12,9
Lunch,Bisibilabath,1190.53,59.3,8.8,11,5
Lunch,Potato Chips,0,26,3,1.1,20
Lunch,Chicken curry,450,15,37,25,6
Lunch,Chicken 65,303.2,9.5,21,13,4
Lunch,Chilli Gobi,1560,42.6,8.5,18,10
Dinner,Plain Rice ,10,2,12,2,0
Dinner,Chapathi,170,15,3,2,0
Dinner,Capsicum and Mushroom Gravy,2300,56,13,22,11
Dinner,Dal,50,65.4,21,8,20
Dinner,Chetinad Egg Masala,17,78.34,7.8,6,21.4
Dinner,Chole Bhature,85,81,14,0,0
Dinner,Lemon Rice,400,15,2,17,5
Dinner,Veg Kadai Masala,20,1,0.8,0,6
Dinner,Millet Dosa,0.9,66.8,10,16,32.3
Dinner,Sambar,500,51,16,3,2
Dinner,Rasam,25,1,0,0,0
Dinner,Chicken Curry,450,15,37,25,6
